book_id,isbn,authors,original_publication_year,title
209,0099446782,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)"
210,000159514174X,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)"
211,0316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking
212,000038572179X,Ian McEwan,2001,Atonement
213,0553213695,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis
214,0141382899,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)"
215,000030788743X,Ernest Cline,2011,Ready Player One
216,0001554681723,Garth Stein,2006,The Art of Racing in the Rain
217,0739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
218,0425263908,Sylvia Day,2012,"Bared to You (Crossfire, #1)"
219,0066238501,"C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)"
220,0316043133,Mark Cotta Vaz,-2147483648,Twilight: The Complete Illustrated Movie Companion
221,0001558743669,Dave Pelzer,1995,"A Child Called ""It"" (Dave Pelzer #1)"
222,0752864327,Robert Ludlum,1980,"The Bourne Identity (Jason Bourne, #1)"
223,0786817879,Eoin Colfer,2001,"Artemis Fowl (Artemis Fowl, #1)"
224,0385738935,Lauren Kate,2009,"Fallen (Fallen, #1)"
225,0142000655,John Steinbeck,1952,East of Eden
226,0307341569,Gillian Flynn,2009,Dark Places
227,0385339089,John Grisham,1993,The Client
228,0312291639,"Emma McLaughlin, Nicola Kraus",2002,"The Nanny Diaries (Nanny, #1)"
229,0451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland & Through the Looking-Glass
230,0192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion
231,0312370830,Tatiana de Rosnay,2007,Sarah's Key
232,0452284694,Stephen King,1982,"The Gunslinger (The Dark Tower, #1)"
233,000140003468X,"Gabriel García Márquez, Edith Grossman",1985,Love in the Time of Cholera
234,000014131088X,Laurie Halse Anderson,1999,Speak
235,0399159347,Liane Moriarty,2013,The Husband's Secret
236,0385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mount Everest Disaster
237,0001416524304,Stephen King,1974,Carrie
238,000031242227X,Augusten Burroughs,2002,Running with Scissors
239,0307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War
240,0385537859,Dan Brown,2013,"Inferno (Robert Langdon, #4)"
241,0440227534,Lois Lowry,1989,Number the Stars
242,0446692638,James Patterson,1993,"Along Came a Spider (Alex Cross, #1)"
243,0450417395,Stephen King,1987,Misery
244,0307341542,Gillian Flynn,2006,Sharp Objects
245,0439366771,Katherine Paterson,1977,Bridge to Terabithia
246,0312360266,"P.C. Cast, Kristin Cast",2007,"Marked (House of Night, #1)"
247,0743269519,Stephen R. Covey,1989,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
248,0743477545,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream
249,0618711651,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close
250,0375869026,R.J. Palacio,2012,Wonder
251,000039480001X,Dr. Seuss,1957,The Cat in the Hat
252,0312641893,Marissa Meyer,2012,"Cinder (The Lunar Chronicles, #1)"
253,0316206849,"Robert Galbraith, J.K. Rowling",2013,"The Cuckoo's Calling (Cormoran Strike, #1)"
254,0545123267,Maggie Stiefvater,2009,"Shiver (The Wolves of Mercy Falls, #1)"
255,0452011876,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged
256,0143038257,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
257,0517223627,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,Alice in Wonderland
258,0143034901,"Carlos Ruiz Zafón, Lucia Graves",2001,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)"
259,0385738757,James Dashner,2010,"The Scorch Trials (Maze Runner, #2)"
260,,Dale Carnegie,1936,How to Win Friends and Influence People
261,0767900383,Frances Mayes,1996,Under the Tuscan Sun
262,0399167064,Liane Moriarty,2014,Big Little Lies
263,0590920685,Gail Carson Levine,1997,Ella Enchanted
264,0743297334,Ernest Hemingway,1926,The Sun Also Rises
265,0061120073,Betty  Smith,1943,A Tree Grows in Brooklyn
266,0446677388,James Patterson,1995,"Kiss the Girls (Alex Cross, #2)"
267,0312577222,Kristin Hannah,2015,The Nightingale
268,0001400078776,Kazuo Ishiguro,2005,Never Let Me Go
269,0786890754,Cecelia Ahern,2003,P.S. I Love You
270,0001844080382,"Daphne du Maurier, Sally Beauman",1938,Rebecca
271,0156030306,Daniel Keyes,1966,Flowers for Algernon
272,0552995878,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Like Water for Chocolate
273,0812968069,Lisa See,2005,Snow Flower and the Secret Fan
274,0451205766,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather
275,0525476881,John Green,2006,An Abundance of Katherines
276,0553803719,Isaac Asimov,1951,Foundation (Foundation #1)
277,0062255657,Neil Gaiman,2013,The Ocean at the End of the Lane
278,0060513063,Shel Silverstein,1981,A Light in the Attic
279,0751565350,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)"
280,0061726834,Lauren Oliver,2011,"Delirium (Delirium, #1)"
281,0385339704,John Grisham,1992,The Pelican Brief
282,0061139378,Neil Gaiman,2002,Coraline
283,0060853980,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
284,0140042598,Jack Kerouac,1955,On the Road
285,0001476729085,Graeme Simsion,2013,"The Rosie Project (Don Tillman, #1)"
286,0446579939,Nicholas Sparks,2008,The Lucky One
287,0451191153,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead
288,0425172902,Tom Clancy,1984,"The Hunt for Red October (Jack Ryan Universe, #4)"
289,000038039586X,Richard Adams,1972,"Watership Down (Watership Down, #1)"
290,0307886263,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns)
291,0375414495,Abraham Verghese,2009,Cutting for Stone
292,000006112527X,"C.S. Lewis, Pauline Baynes",1951,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)"
293,0753453800,Robert Louis Stevenson,1882,Treasure Island
294,0001423140591,Rick Riordan,2011,"The Son of Neptune (The Heroes of Olympus, #2)"
295,0001451627289,Stephen King,2011,11/22/63
296,0241003008,Eric Carle,1969,The Very Hungry Caterpillar Board Book
297,0140285601,Kurt Vonnegut Jr.,1963,Cat's Cradle
298,0451528557,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine
299,0849946158,"Todd Burpo, Lynn Vincent",2010,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
300,0385751060,John Boyne,2006,The Boy in the Striped Pajamas
301,0001892295490,Joseph Conrad,1899,Heart of Darkness
302,000044654759X,Nicholas Sparks,2010,Safe Haven
303,0001582701709,Rhonda Byrne,2006,"The Secret (The Secret, #1)"
304,0060987561,Wally Lamb,1998,I Know This Much Is True
305,0001416524347,Stephen King,1983,Pet Sematary
306,0671021001,Wally Lamb,1992,She's Come Undone
307,0756404738,Patrick Rothfuss,2011,"The Wise Man's Fear (The Kingkiller Chronicle, #2)"
308,0440241901,Sophie Kinsella,2003,Can You Keep a Secret?
309,0001442403543,Cassandra Clare,2011,"City of Fallen Angels (The Mortal Instruments, #4)"
310,0743418174,Jennifer Weiner,2001,"Good in Bed (Cannie Shapiro, #1)"
311,0380018179,Colleen McCullough,1977,The Thorn Birds
312,0060530928,"Neil Gaiman, Dave McKean",2008,The Graveyard Book
313,0001451681739,M.L. Stedman,2012,The Light Between Oceans
314,0439709105,"Cornelia Funke, Anthea Bell",2003,"Inkheart (Inkworld, #1)"
315,0091883768,"Spencer Johnson, Kenneth H. Blanchard",1998,Who Moved My Cheese?
316,0307279464,Bill Bryson,1997,A Walk in the Woods
317,0553279378,Maya Angelou,1969,I Know Why the Caged Bird Sings
318,0061950726,Christina Baker Kline,2013,Orphan Train
319,0001442416866,Cassandra Clare,2012,"City of Lost Souls (The Mortal Instruments, #5)"
320,0316204277,Maria Semple,2012,"Where'd You Go, Bernadette"
321,0375806814,Wilson Rawls,1961,Where the Red Fern Grows
322,0060557818,Neil Gaiman,1996,Neverwhere
323,0571224385,"Milan Kundera, Michael Henry Heim",1984,The Unbearable Lightness of Being
324,,Rainbow Rowell,2013,Fangirl
325,0552135399,John Irving,1989,A Prayer for Owen Meany
326,0316182540,Janet Fitch,1999,White Oleander
327,000039925675X,Marie Lu,2011,"Legend (Legend, #1)"
328,0743496728,Jodi Picoult,2007,Nineteen Minutes
329,0001401323251,"Randy Pausch, Jeffrey Zaslow",2008,The Last Lecture
330,0812511816,Robert Jordan,1990,"The Eye of the World (Wheel of Time, #1)"
331,0061150142,Jodi Picoult,1998,The Pact
332,0060764902,C.S. Lewis,1953,"The Magician's Nephew (Chronicles of Narnia, #6)"
333,0595440096,Lisa Genova,2007,Still Alice
334,0425263916,Sylvia Day,2012,"Reflected in You (Crossfire, #2)"
335,0375814248,"Roald Dahl, Quentin Blake",1961,James and the Giant Peach
336,0446696617,James Patterson,2001,"1st to Die (Women's Murder Club, #1)"
337,0345453743,Douglas Adams,1996,The Ultimate Hitchhiker's Guide to the Galaxy
338,0340896965,David Nicholls,2009,One Day
339,0060775858,"Margaret Wise Brown, Clement Hurd",1947,Goodnight Moon
340,0061969559,Pittacus Lore,2010,"I Am Number Four (Lorien Legacies, #1)"
341,0140275363,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750,The Iliad
342,0316228532,J.K. Rowling,2012,The Casual Vacancy
343,0385339690,John Grisham,1996,The Runaway Jury
344,0316777730,David Sedaris,1997,Naked
345,0375840400,Christopher Paolini,2005,"Eldest (The Inheritance Cycle, #2)"
346,0140621679,"L. Frank Baum, W.W. Denslow",1900,"The Wonderful Wizard of Oz (Oz, #1)"
347,000000720230X,C.S. Lewis,1951,"Prince Caspian (Chronicles of Narnia, #2)"
348,,E. Lockhart,2014,We Were Liars
349,0450031063,Stephen King,1975,'Salem's Lot
350,0679785892,"Hunter S. Thompson, Ralph Steadman",1971,Fear and Loathing in Las Vegas
351,0001416975888,Cassandra Clare,2011,"Clockwork Prince (The Infernal Devices, #2)"
352,0062268341,Amy Poehler,2014,Yes Please
353,0743477553,William Shakespeare,1603,Othello
354,0001400033411,Toni Morrison,1987,Beloved
355,000015206396X,Kristin Cashore,2008,"Graceling (Graceling Realm, #1)"
356,0439206472,"Lemony Snicket, Brett Helquist",1999,"The Bad Beginning (A Series of Unfortunate Events, #1)"
357,0449213943,"Erich Maria Remarque, A.W. Wheen",1929,All Quiet on the Western Front
358,0679805273,Dr. Seuss,1990,"Oh, The Places You'll Go!"
359,000159463176X,Khaled Hosseini,2012,And the Mountains Echoed
360,0345404475,"Philip K. Dick, Roger Zelazny",1968,Do Androids Dream of Electric Sheep?
361,0141439742,"Charles Dickens, George Cruikshank, Philip Horne",1838,Oliver Twist
362,0060652896,C.S. Lewis,1942,The Screwtape Letters
363,0525423273,Stephanie Perkins,2010,"Anna and the French Kiss (Anna and the French Kiss, #1)"
364,0007173040,Dr. Seuss,1957,How the Grinch Stole Christmas!
365,0001401207928,"Alan Moore, David   Lloyd",1990,V for Vendetta
366,0743223136,David McCullough,2001,John Adams
367,0553384287,Dean Koontz,2003,"Odd Thomas (Odd Thomas, #1)"
368,0679879250,Philip Pullman,1997,"The Subtle Knife (His Dark Materials, #2)"
369,0439488400,Jerry Spinelli,2000,"Stargirl (Stargirl, #1)"
370,0001423113381,Rick Riordan,2010,"The Red Pyramid (Kane Chronicles, #1)"
371,0441788386,Robert A. Heinlein,1961,Stranger in a Strange Land
372,0965904830,David Sedaris,2004,Dress Your Family in Corduroy and Denim
